output_metric,Parameter,Display_Name,S1,ST
delPSS_over_Efc,E_vessel,E vessel,0.0823270214860373,0.1143305497493664
delPSS_over_Efc,E_fc,E fc,0.6341506748694572,0.6431066164100153
delPSS_over_Efc,E_lipid,E lipid,0.0379916878909171,0.045683276942983
delPSS_over_Efc,E_cal,E cal,-3.565552882857707e-06,5.595705665993406e-06
delPSS_over_Efc,SBP,Systolic Blood Pressure,0.0964255132987732,0.0998312860956014
delPSS_over_Efc,PP,Pulse Pressure,0.02487675085047,0.0392785859603142
delPSS_over_Efc,tau,Decay Ratio,0.0024249544212305,0.0024276998285287
delPSS_over_sqrtEfc,DOS,DOS,0.013012276866879,0.065785729308588
delPSS_over_sqrtEfc,lesion_length,lesion length,0.0281961403564672,0.0370701426454095
delPSS_over_sqrtEfc,lumen_axial_skewness,lumen skewness,2.19746996659035e-05,0.0004914201486181
delPSS_over_sqrtEfc,alpha,lipid arc angle,0.0329457656525814,0.0983439511279143
delPSS_over_sqrtEfc,lipid_length,lipid length,0.0753884895914784,0.1008216543757772
delPSS_over_sqrtEfc,PI,Positive Index,0.0038669720058687,0.0061079919698111
delPSS_over_sqrtEfc,d_fc_ca,d_fc_ca,6.140184636230005e-05,6.232956546302889e-05
delPSS_over_sqrtEfc,fraction,cal fraction,8.539759962641636e-10,2.1203950117486538e-15
delPSS_over_sqrtEfc,ca_axial_skewness,cal axial skew,0.0004533682941084,0.0002548235560135
delPSS_over_sqrtEfc,ca_shoulder_skewness,cal shoulder skew,3.572254178378873e-10,1.1086654430057446e-15
delPSS_over_sqrtEfc,ca_strength_ratio,cal strength,0.0001262178744616,1.6034992647768744e-05
delPSS_over_sqrtEfc,E_vessel,E vessel,0.2023634145949593,0.2832882904572837
delPSS_over_sqrtEfc,E_fc,E fc,0.1101011624182736,0.1317034818288731
delPSS_over_sqrtEfc,E_lipid,E lipid,0.0809305539549248,0.1010205682843405
delPSS_over_sqrtEfc,E_cal,E cal,-4.240452915006993e-05,4.391623223608879e-05
delPSS_over_sqrtEfc,SBP,Systolic Blood Pressure,0.220816409918734,0.2284885267296067
delPSS_over_sqrtEfc,PP,Pulse Pressure,0.0711067552667629,0.0905802318009994
delPSS_over_sqrtEfc,tau,Decay Ratio,0.0053074064729374,0.0053043943254941
delta_PSS,DOS,DOS,0.0085032381959713,0.0375138833269584
delta_PSS,lesion_length,lesion length,0.0194259502706713,0.0200334541488957
delta_PSS,lumen_axial_skewness,lumen skewness,-0.0001441630524633,0.0004905100397239
delta_PSS,alpha,lipid arc angle,0.0260508827745872,0.0779103328897975
delta_PSS,lipid_length,lipid length,0.065236225144068,0.0706759094410585
delta_PSS,PI,Positive Index,0.0030334360280775,0.0042343667417876
delta_PSS,d_fc_ca,d_fc_ca,8.14346400980496e-05,9.106691637456954e-05
delta_PSS,fraction,cal fraction,4.3118558316898336e-10,1.3391735523419887e-14
delta_PSS,ca_axial_skewness,cal axial skew,0.0002491528163859,0.0002994690445315
delta_PSS,ca_shoulder_skewness,cal shoulder skew,2.439044078643157e-09,1.7572850877761012e-15
delta_PSS,ca_strength_ratio,cal strength,4.605173366827036e-05,8.49746509797937e-06
delta_PSS,E_vessel,E vessel,0.1687999609443307,0.221922901092605
delta_PSS,E_fc,E fc,0.2687628711797606,0.2887503473634404
delta_PSS,E_lipid,E lipid,0.076764293545976,0.0897322475589351
delta_PSS,E_cal,E cal,1.1919479655552468e-05,2.9325431652393104e-05
delta_PSS,SBP,Systolic Blood Pressure,0.1917318226553083,0.1984857248889359
delta_PSS,PP,Pulse Pressure,0.0724213118985391,0.0776944186320441
delta_PSS,tau,Decay Ratio,0.0045802403789593,0.0048560901138844
